# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Wed Aug 27 04:51:00 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: luminosity functions
age     Z  magbinc 	 mbolmag  Gmag    G_BPmag  G_RPmag
1.3e+10 0.000196 -6.5250           0          0          0          0
1.3e+10 0.000196 -6.4750           0          0          0          0
1.3e+10 0.000196 -6.4250           0          0          0          0
1.3e+10 0.000196 -6.3750           0          0          0          0
1.3e+10 0.000196 -6.3250           0          0          0          0
1.3e+10 0.000196 -6.2750           0          0          0          0
1.3e+10 0.000196 -6.2250           0          0          0          0
1.3e+10 0.000196 -6.1750           0          0          0          0
1.3e+10 0.000196 -6.1250           0          0          0          0
1.3e+10 0.000196 -6.0750           0          0          0          0
1.3e+10 0.000196 -6.0250           0          0          0          0
1.3e+10 0.000196 -5.9750           0          0          0          0
1.3e+10 0.000196 -5.9250           0          0          0          0
1.3e+10 0.000196 -5.8750           0          0          0          0
1.3e+10 0.000196 -5.8250           0          0          0          0
1.3e+10 0.000196 -5.7750           0          0          0          0
1.3e+10 0.000196 -5.7250           0          0          0          0
1.3e+10 0.000196 -5.6750           0          0          0          0
1.3e+10 0.000196 -5.6250           0          0          0          0
1.3e+10 0.000196 -5.5750           0          0          0          0
1.3e+10 0.000196 -5.5250           0          0          0          0
1.3e+10 0.000196 -5.4750           0          0          0          0
1.3e+10 0.000196 -5.4250           0          0          0          0
1.3e+10 0.000196 -5.3750           0          0          0          0
1.3e+10 0.000196 -5.3250           0          0          0          0
1.3e+10 0.000196 -5.2750           0          0          0          0
1.3e+10 0.000196 -5.2250           0          0          0          0
1.3e+10 0.000196 -5.1750           0          0          0          0
1.3e+10 0.000196 -5.1250           0          0          0          0
1.3e+10 0.000196 -5.0750           0          0          0          0
1.3e+10 0.000196 -5.0250           0          0          0          0
1.3e+10 0.000196 -4.9750           0          0          0          0
1.3e+10 0.000196 -4.9250           0          0          0          0
1.3e+10 0.000196 -4.8750           0          0          0          0
1.3e+10 0.000196 -4.8250           0          0          0          0
1.3e+10 0.000196 -4.7750           0          0          0          0
1.3e+10 0.000196 -4.7250           0          0          0          0
1.3e+10 0.000196 -4.6750           0          0          0          0
1.3e+10 0.000196 -4.6250           0          0          0          0
1.3e+10 0.000196 -4.5750           0          0          0          0
1.3e+10 0.000196 -4.5250           0          0          0          0
1.3e+10 0.000196 -4.4750           0          0          0          0
1.3e+10 0.000196 -4.4250           0          0          0          0
1.3e+10 0.000196 -4.3750           0          0          0          0
1.3e+10 0.000196 -4.3250           0          0          0          0
1.3e+10 0.000196 -4.2750           0          0          0          0
1.3e+10 0.000196 -4.2250           0          0          0          0
1.3e+10 0.000196 -4.1750           0          0          0          0
1.3e+10 0.000196 -4.1250           0          0          0          0
1.3e+10 0.000196 -4.0750           0          0          0          0
1.3e+10 0.000196 -4.0250           0          0          0          0
1.3e+10 0.000196 -3.9750           0          0          0 1.5924e-06
1.3e+10 0.000196 -3.9250           0          0          0 1.5014e-06
1.3e+10 0.000196 -3.8750           0          0          0 1.4242e-06
1.3e+10 0.000196 -3.8250           0          0          0 1.3639e-06
1.3e+10 0.000196 -3.7750           0          0          0 1.5501e-06
1.3e+10 0.000196 -3.7250           0          0          0 1.4924e-06
1.3e+10 0.000196 -3.6750           0          0          0 1.4978e-06
1.3e+10 0.000196 -3.6250           0          0          0 1.5202e-06
